Unnamed: 0,erbmi,ertpreat,eudrink,eueat,euexercise,eufastfd,eufdsit,euprpmel,eusoda,eugenhth,codified_bmi,codified_health
331,29.5,45,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3,1
332,27.200001,90,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,3,1
333,28.1,37,1.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,3,2
334,31.4,115,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,3,2
335,20.4,60,1.0,2.0,2.0,2.0,1.0,1.0,1.0,5.0,2,2
340,22.4,40,1.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,2,1
341,22.6,20,1.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,2,1
342,18.299999,61,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1,1
346,28.200001,60,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,3,1
347,24.799999,55,1.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0,2,1
348,24.4,65,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2,1
349,26.0,85,1.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,3,1
350,33.099998,30,1.0,1.0,2.0,1.0,1.0,2.0,2.0,4.0,3,2
351,17.4,25,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1,1
352,26.6,135,1.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,3,1
353,25.0,60,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3,1
354,25.4,35,1.0,1.0,2.0,1.0,1.0,2.0,2.0,3.0,3,1
355,22.200001,45,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,2,1
356,23.6,95,1.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,2,2
357,20.4,60,1.0,1.0,2.0,1.0,2.0,1.0,1.0,3.0,2,1
358,20.5,60,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2,1
360,34.0,90,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,3,1
363,33.5,2,1.0,1.0,2.0,1.0,2.0,1.0,2.0,5.0,3,2
364,27.200001,90,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,3,1
365,23.5,120,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2,1
367,30.5,140,1.0,1.0,2.0,2.0,1.0,1.0,1.0,4.0,3,2
368,21.799999,30,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2,1
369,24.299999,15,1.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,2,1
371,25.1,75,1.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,3,2
372,26.200001,40,1.0,1.0,2.0,1.0,1.0,3.0,1.0,3.0,3,1
373,26.4,30,1.0,2.0,2.0,2.0,1.0,2.0,1.0,5.0,3,2
375,25.299999,120,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,3,2
376,23.5,20,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2,1
378,24.700001,22,1.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,2,1
379,47.400002,105,1.0,1.0,2.0,2.0,1.0,1.0,2.0,3.0,3,1
382,27.9,60,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,3,1
384,37.700001,195,1.0,2.0,1.0,2.0,1.0,1.0,2.0,4.0,3,2
385,39.900002,30,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,3,1
387,21.299999,45,1.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,2,1
388,25.700001,48,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,3,1
389,24.799999,45,1.0,2.0,1.0,2.0,1.0,1.0,2.0,3.0,2,1
391,25.1,125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3,1
